Opening_Stock,Delivered_In,Delivered_Out,Closing_Stock,Open_Tonnage,Cancelled_Tonnage,Date
245825.0,1325.0,3850.0,243300.0,212675.0,30625.0,20250210
243300.0,0.0,1650.0,241650.0,211425.0,30225.0,20250211
241650.0,100.0,3825.0,237925.0,210600.0,27325.0,20250212
237925.0,18350.0,1050.0,255225.0,227525.0,27700.0,20250213
255225.0,725.0,1975.0,253975.0,234675.0,19300.0,20250214
253975.0,10625.0,825.0,263775.0,248925.0,14850.0,20250217
263775.0,9400.0,2275.0,270900.0,258325.0,12575.0,20250218
270900.0,100.0,2250.0,268750.0,258425.0,10325.0,20250219
268750.0,50.0,1050.0,267750.0,215900.0,51850.0,20250220
267750.0,0.0,525.0,267225.0,182825.0,84400.0,20250221
267225.0,700.0,1225.0,266700.0,170975.0,95725.0,20250224
266700.0,500.0,2175.0,265025.0,161225.0,103800.0,20250225
265025.0,0.0,1375.0,263650.0,161225.0,102425.0,20250226
263650.0,0.0,1575.0,262075.0,160225.0,101850.0,20250227
213275.0,1550.0,2950.0,211875.0,113400.0,98475.0,20250401
211875.0,2125.0,3550.0,210450.0,115525.0,94925.0,20250402
210450.0,1000.0,650.0,210800.0,116525.0,94275.0,20250403
210800.0,0.0,575.0,210225.0,116525.0,93700.0,20250404
210225.0,4375.0,1150.0,213450.0,120550.0,92900.0,20250407
213450.0,1500.0,3025.0,211925.0,122050.0,89875.0,20250408
211925.0,0.0,2500.0,209425.0,120000.0,89425.0,20250409
209425.0,750.0,1400.0,208775.0,120650.0,88125.0,20250410
208775.0,0.0,950.0,207825.0,116250.0,91575.0,20250411
207825.0,6500.0,1850.0,212475.0,119375.0,93100.0,20250414
212475.0,5550.0,1775.0,216250.0,124725.0,91525.0,20250415
216250.0,600.0,3450.0,213400.0,125250.0,88150.0,20250416
213400.0,2000.0,2700.0,212700.0,127250.0,85450.0,20250417
212700.0,725.0,8175.0,205250.0,127425.0,77825.0,20250422
205250.0,500.0,2325.0,203425.0,127375.0,76050.0,20250423
203425.0,600.0,575.0,203450.0,126200.0,77250.0,20250424
203450.0,200.0,850.0,202800.0,132025.0,70775.0,20250425
202800.0,0.0,300.0,202500.0,131000.0,71500.0,20250428
202500.0,0.0,2350.0,200150.0,129100.0,71050.0,20250429
200150.0,100.0,2550.0,197700.0,129200.0,68500.0,20250430
148450.0,0.0,4600.0,143850.0,69475.0,74375.0,20250602
143850.0,0.0,2500.0,141350.0,66325.0,75025.0,20250603
141350.0,0.0,3350.0,138000.0,54700.0,83300.0,20250604
138000.0,0.0,5600.0,132400.0,54600.0,77800.0,20250605
132400.0,0.0,10000.0,122400.0,54600.0,67800.0,20250606
122400.0,0.0,2000.0,120400.0,48675.0,71725.0,20250609
120400.0,75.0,1025.0,119450.0,48750.0,70700.0,20250610
119450.0,0.0,2600.0,116850.0,48725.0,68125.0,20250611
116850.0,175.0,2550.0,114475.0,50850.0,63625.0,20250612
114475.0,150.0,7300.0,107325.0,51000.0,56325.0,20250613
107325.0,1950.0,1725.0,107550.0,52950.0,54600.0,20250616
107550.0,1625.0,1825.0,107350.0,54175.0,53175.0,20250617
107350.0,50.0,4075.0,103325.0,54225.0,49100.0,20250618
103325.0,175.0,4300.0,99200.0,54400.0,44800.0,20250619
99200.0,75.0,3400.0,95875.0,54425.0,41450.0,20250620
95875.0,175.0,1375.0,94675.0,54525.0,40150.0,20250623
94675.0,1725.0,2925.0,93475.0,56250.0,37225.0,20250624
93475.0,375.0,775.0,93075.0,56625.0,36450.0,20250625
